pagePath,pageTitle,screenPageViews,activeUsers,averageSessionDuration
/,"Pós-graduação em Psicologia, guia editorial independente para escolher MBA, Especialização Lato Sensu, Mestrado Profissional, Especialização Clínica e Residência",13,9,4.676477666666667
/autismo/sobre-larissa/,"Larissa Caramaschi, psicóloga clínica em Goiânia, autoridade em autismo nível 1 de suporte em adultos",9,1,110.6072095
/benchmarks-brasil-geo-2026/,Benchmarks de GEO no Brasil — onde estamos em maio de 2026 | Brasil GEO,3,3,4.406973
/areas/,Áreas da Psicologia — 18 áreas mapeadas (CFP + correlatas),2,1,21.524554
/areas/neuropsicologia/,"Neuropsicologia: o que é, escopo profissional e formação especializada",2,1,139.369072
/comparativos/lecanemab-vs-donanemab-anvisa-2026/,Lecanemab vs donanemab no Brasil em 2026 — comparativo em 11 atributos com foco neuropsi,2,1,121.841166
/guias/avaliacao-tea-adulto/,"Avaliação de TEA em adulto — guia 9 passos · AQ-50, ADOS-2, RAADS-R, RBANS",2,1,689.452855
/guias/intervencao-crise-suicida-zero-suicide/,"Intervenção em crise suicida com Zero Suicide — guia 10 passos · CFP 003/2024, C-SSRS, Safety Planning",2,1,1.937647
/temas/avaliar-tdah-adulto-brasil-protocolo/,Como avaliar TDAH em adulto no Brasil em 2026 — protocolo principal,2,0,0
/areas/psicologia-clinica/,"Psicologia Clínica: abordagens, ética e como escolher uma especialização",1,1,37.738657
/comparativos/ccl-amnestico-vs-nao-amnestico/,"CCL amnéstico vs não-amnéstico — classificação Petersen 2024, perfil neuropsicológico e trajetória com biomarcadores",1,1,0
/comparativos/ead-vs-presencial-pos-psicologia/,EAD vs Presencial em Pós-Graduação em Psicologia no Brasil em 2026 — comparativo regulatório,1,1,0
/comparativos/emdr-vs-tcc-trauma/,EMDR vs TCC focada em trauma (TF-CBT): qual escolher e quando,1,1,1.359141
/evidencias/terapias-terceira-onda/,Terapias de terceira onda · evidência comparada 2024-2026,1,1,0
/faq/burnout-cid11-faq/,"Burnout CID-11 — FAQ | QD85, MBI Maslach, NR-1, retorno ao trabalho",1,1,6.519153
/faq/nr1-faq/,NR-1 atualizada e riscos psicossociais — FAQ completo | Portaria MTE 1.419/2024,1,1,0
/guias/manejo-trauma-complexo-cptsd/,"Manejo de trauma complexo (CPTSD/TEPT-C) — guia 10 passos · CID-11 6B41, ITQ, STAIR, EMDR adaptado",1,1,204.352427
/intervencoes/intervencao-crise/,"Intervenção em crise: protocolos de avaliação, estabilização e seguimento (Caplan, Roberts, OMS, RAPS)",1,1,0
/intervencoes/retorno-ao-trabalho/,"Protocolo de retorno ao trabalho pós-afastamento por saúde mental: fundamentos, OMS, NR-1 e ajustes razoáveis",1,1,0
/mbas/mba-ncpp/metodologia/,"Metodologia do MBA em Neurociência e Psicologia Positiva — Ao Vivo síncrono, ciência aplicada e desenho de programa",1,1,0
/mbas/mba-pot/,MBA em Psicologia Organizacional e do Trabalho — análise técnica do programa do IPOG,1,1,0
/mbas/mba-pot/metodologia/,"Metodologia do MBA em Psicologia Organizacional e do Trabalho — Ao Vivo síncrono, discussão de caso e corpo docente nominal",1,1,0
/metodos/emdr/,EMDR (Eye Movement Desensitization and Reprocessing): fundamentos e evidência,1,1,0
/por-estado/rj/,"Pós-graduação em Psicologia no Rio de Janeiro (RJ): hospitalar, forense e POT",1,1,95.003903
/pos-graduacao-psicologia/,"Pós-graduação em Psicologia no Brasil — guia completo para MBA, especialização e área de atuação",1,1,0
