route,file,types,has_Article,has_FAQPage,has_BreadcrumbList,has_HowTo,has_EducationalOccupationalProgram,has_DefinedTermSet
"/","index.astro","BreadcrumbList|?ListItem",0,0,1,0,0,0
"/areas","areas/index.astro","",0,0,0,0,0,0
"/areas/[slug]","areas/[slug].astro","Article|Organization",1,0,0,0,0,0
"/areas/aba-tea-neurodesenvolvimento","areas/aba-tea-neurodesenvolvimento.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/avaliacao-psicologica","areas/avaliacao-psicologica.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/ia-people-analytics-psicologia-digital","areas/ia-people-analytics-psicologia-digital.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/neuropsicologia","areas/neuropsicologia.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/psicologia-clinica","areas/psicologia-clinica.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/psicologia-escolar-educacional","areas/psicologia-escolar-educacional.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/psicologia-esporte","areas/psicologia-esporte.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/psicologia-hospitalar","areas/psicologia-hospitalar.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/psicologia-juridica-forense","areas/psicologia-juridica-forense.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/psicologia-organizacional-trabalho","areas/psicologia-organizacional-trabalho.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/psicologia-positiva","areas/psicologia-positiva.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/psicologia-saude","areas/psicologia-saude.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/psicologia-social","areas/psicologia-social.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/psicologia-transito-trafego","areas/psicologia-transito-trafego.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/psicomotricidade","areas/psicomotricidade.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/psicopedagogia","areas/psicopedagogia.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/reabilitacao-neuropsicologica","areas/reabilitacao-neuropsicologica.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/areas/saude-mental-organizacoes","areas/saude-mental-organizacoes.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/carreira","carreira/index.astro","CollectionPage|Organization",0,0,0,0,0,0
"/carreira/avaliacao-psicologica","carreira/avaliacao-psicologica.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/carreira/consultoria-organizacional","carreira/consultoria-organizacional.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/carreira/neuropsicologia","carreira/neuropsicologia.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/carreira/pericia-psicologica","carreira/pericia-psicologica.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/carreira/psicologia-organizacional","carreira/psicologia-organizacional.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/carreira/saude-mental-corporativa","carreira/saude-mental-corporativa.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/casos","casos/index.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/casos/aba-rede-escolar","casos/aba-rede-escolar.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/casos/lideranca-positiva-startup-escalando","casos/lideranca-positiva-startup-escalando.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/casos/positiva-burnout-fintech","casos/positiva-burnout-fintech.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/casos/pot-fabrica-nr1","casos/pot-fabrica-nr1.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/casos/reabilitacao-pos-avc","casos/reabilitacao-pos-avc.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/comparativos","comparativos/index.astro","?ItemList|?ListItem|BreadcrumbList",0,0,1,0,0,0
"/comparativos/act-vs-tcc","comparativos/act-vs-tcc.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/comparativos/brasil-vs-portugal-pos-psi","comparativos/brasil-vs-portugal-pos-psi.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/comparativos/emdr-vs-tcc-trauma","comparativos/emdr-vs-tcc-trauma.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/comparativos/ia-vs-terapeuta-humano","comparativos/ia-vs-terapeuta-humano.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/comparativos/mba-vs-especializacao","comparativos/mba-vs-especializacao.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/comparativos/mindfulness-vs-act","comparativos/mindfulness-vs-act.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/comparativos/neuropsicologia-vs-reabilitacao","comparativos/neuropsicologia-vs-reabilitacao.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/comparativos/online-vs-presencial","comparativos/online-vs-presencial.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/comparativos/positiva-vs-organizacional","comparativos/positiva-vs-organizacional.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/comparativos/pot-vs-gestao-pessoas","comparativos/pot-vs-gestao-pessoas.astro","Article|Organization|FAQPage|Question|Answer",1,1,0,0,0,0
"/comparativos/presencial-vs-hibrido-vs-online","comparativos/presencial-vs-hibrido-vs-online.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/evidencias","evidencias/index.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/evidencias/burnout-gen-z","evidencias/burnout-gen-z.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/evidencias/fadiga-digital","evidencias/fadiga-digital.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/evidencias/ia-generativa-saude-mental","evidencias/ia-generativa-saude-mental.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/evidencias/mindfulness-corporativo","evidencias/mindfulness-corporativo.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/evidencias/nr1-riscos-psicossociais-2026","evidencias/nr1-riscos-psicossociais-2026.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/evidencias/terapias-terceira-onda","evidencias/terapias-terceira-onda.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/faq","faq/index.astro","FAQPage|Question|Answer|BreadcrumbList|?ListItem|CollectionPage|Organization|?WebPage",0,1,1,0,0,0
"/faq/avaliacao-psicologica-laudos-faq","faq/avaliacao-psicologica-laudos-faq.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/faq/carreira-psicologo-organizacional-faq","faq/carreira-psicologo-organizacional-faq.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/faq/ia-em-psicologia-faq","faq/ia-em-psicologia-faq.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/faq/mba-vs-especializacao-faq","faq/mba-vs-especializacao-faq.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/faq/nr1-faq","faq/nr1-faq.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/faq/regulacao-cfp-faq","faq/regulacao-cfp-faq.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/glossario","glossario.astro","DefinedTermSet|DefinedTerm",0,0,0,0,0,1
"/glossario/conceitos-neuro","glossario/conceitos-neuro.astro","DefinedTermSet|DefinedTerm|BreadcrumbList|?ListItem|FAQPage|Question|Answer",0,1,1,0,0,1
"/glossario/conceitos-pot","glossario/conceitos-pot.astro","DefinedTermSet|DefinedTerm|BreadcrumbList|?ListItem|FAQPage|Question|Answer",0,1,1,0,0,1
"/glossario/instrumentos","glossario/instrumentos.astro","DefinedTermSet|DefinedTerm|BreadcrumbList|?ListItem|FAQPage|Question|Answer",0,1,1,0,0,1
"/glossario/metodos-terapeuticos","glossario/metodos-terapeuticos.astro","DefinedTermSet|DefinedTerm|BreadcrumbList|?ListItem|FAQPage|Question|Answer",0,1,1,0,0,1
"/glossario/regulacao","glossario/regulacao.astro","DefinedTermSet|DefinedTerm|BreadcrumbList|?ListItem|FAQPage|Question|Answer",0,1,1,0,0,1
"/guias","guias/index.astro","CollectionPage|Organization|HowTo|FAQPage|Question|Answer|BreadcrumbList|?ListItem",0,1,1,1,0,0
"/guias/avaliacao-tea-adulto","guias/avaliacao-tea-adulto.astro","HowTo|HowToStep|Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,1,0,0
"/guias/construir-programa-bem-estar","guias/construir-programa-bem-estar.astro","HowTo|HowToStep|Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,1,0,0
"/guias/escolher-supervisor-clinico","guias/escolher-supervisor-clinico.astro","HowTo|HowToStep|Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,1,0,0
"/guias/implementar-nr1-em-empresa","guias/implementar-nr1-em-empresa.astro","HowTo|HowToStep|Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,1,0,0
"/guias/retorno-ao-trabalho-pos-burnout","guias/retorno-ao-trabalho-pos-burnout.astro","HowTo|HowToStep|Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,1,0,0
"/guias/uso-etico-ia-clinica","guias/uso-etico-ia-clinica.astro","HowTo|HowToStep|Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,1,0,0
"/intervencoes","intervencoes/index.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/intervencoes/atencao-primaria-matriciamento","intervencoes/atencao-primaria-matriciamento.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/intervencoes/iapt-nhs","intervencoes/iapt-nhs.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/intervencoes/intervencao-crise","intervencoes/intervencao-crise.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/intervencoes/retorno-ao-trabalho","intervencoes/retorno-ao-trabalho.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/intervencoes/stepped-care","intervencoes/stepped-care.astro","Article|Organization|FAQPage|Question|Answer|BreadcrumbList|?ListItem",1,1,1,0,0,0
"/mapa-do-site","mapa-do-site.astro","",0,0,0,0,0,0
"/mbas","mbas/index.astro","?ItemList|?ListItem",0,0,0,0,0,0
"/mbas/mba-lideranca-positiva","mbas/mba-lideranca-positiva.astro","EducationalOccupationalProgram|EducationalOrganization|BreadcrumbList|?ListItem|FAQPage|Question|Answer",0,1,1,0,1,0
"/mbas/mba-lideranca-positiva/grade-curricular","mbas/mba-lideranca-positiva/grade-curricular.astro","EducationalOccupationalProgram|EducationalOrganization|BreadcrumbList|?ListItem|FAQPage|Question|Answer",0,1,1,0,1,0
"/mbas/mba-lideranca-positiva/metodologia","mbas/mba-lideranca-positiva/metodologia.astro","EducationalOccupationalProgram|EducationalOrganization|BreadcrumbList|?ListItem|FAQPage|Question|Answer",0,1,1,0,1,0
